Total Visits,Population,MedianIncome,MedianAge,Family,Nonfamily,Householdsize0,Householdsize2,Pop Age 15+: Married,Pop Age 15+: Nevermarried,Pop Age 15+: Divorced,Pop Age 25+: Bachelor's Degree,Pop Age 25 Grad Professional,Adult,Blackpop,Whitepop,Hispanicpop,Mobility,PopulationGrowthRate,Personal Crime Index (AGS),Motor Vehicle Theft Aggregate (AGS),AREA,POP_C,Population_Density,Female_density,GDP,Is_Florida,Is_Tennessee,Is_Alabama,TJ.Maxx,Marshalls,HomeGoods,Total_competing_store_count_3m,Total_competing_store_visits_3m,Lowe's_3m,The Home Depot_3m,Walmart_3m,Burlington_3m,Kohl's_3m,Ross Dress for Less_3m,Lowe's_visits_3m,The Home Depot_visits_3m,Walmart_visits_3m,Burlington_visits_3m,Kohl's_visits_3m,Ross Dress for Less_visits_3m,Total_competing_store_count1,Total_competing_store_visits1,Lowe's_1m,The Home Depot_1m,Burlington_1m,Kohl's_1m,Ross Dress for Less_1m,Lowe's_visits_1m,The Home Depot_visits_1m,Burlington_visits_1m,Kohl's_visits_1m,Ross Dress for Less_visits_1m,Total_grocery_store_count,Total_grocery_store_visits,Aldi's_3m,Publix_3m,The Fresh Market_3m,Whole Foods Market_3m,Winn-Dixie_3m,Aldi's_visits_3m,Publix_visits_3m,The Fresh Market_visits_3m,Whole Foods Market_visits_3m,Winn-Dixie_visits_3m,num_star,tjmaxx_3m,Marshalls_3m,Homegoods_3m,tjmaxx_visits_3m,Marshalls_visits_3m,Homegoods_visits_3m
396596,4278,112240,44.2,1172,348,433,537,2201,735,339,920,359,3347,257,3487,750,4211,0.62,45,187434,4.24050511,4756,1008.842081,0.541608228,83550687,1,0,0,0,0,1,4,3010495,0,1,0,1,1,1,0,1098378,0,1174757,404724,332636,1,404724,0,0,0,1,0,0,0,0,404724,0,8,4315160,0,4,0,1,2,0,2862708,0,554225,646333,0,1,0,0,426394,0,0
395674,5885,91382,40.8,1491,478,422,495,2352,1656,497,1136,256,4582,731,3897,667,5853,-0.14,61,346450,1.19024502,5357,4944.360112,0.517247239,75792930,1,0,0,0,0,1,6,3759739,1,1,1,1,1,1,544366,858781,248532,1613936,282832,211292,2,1070073,0,1,0,0,1,0,858781,0,0,211292,9,6174168,1,5,0,1,1,227275,3986403,0,991086,214773,1,0,1,0,0,395690,0
393463,3778,101579,39.1,862,455,134,551,1651,960,339,437,203,2902,311,2729,1086,3723,4.68,78,143840,3.56690319,3609,1059.182097,0.464531498,12330615,1,0,0,0,0,1,2,470945,0,0,1,0,0,1,0,0,204168,0,0,266777,1,204168,0,0,0,0,0,0,0,0,0,0,4,3420114,1,2,0,0,1,333749,2761831,0,0,324534,2,0,1,0,0,435297,0
374706,5401,46020,35.3,1305,498,480,514,1868,1372,523,566,203,3726,968,3511,1750,5274,0.23,119,267355,2.25654504,4913,2393.482029,0.583225329,25297584,1,0,0,0,0,1,5,4564709,1,1,0,1,1,1,747139,883699,0,1910578,555994,467299,0,0,0,0,0,0,0,0,0,0,0,0,5,3784431,0,4,0,0,1,0,3523013,0,0,261418,1,0,1,0,0,559641,0
349056,8013,86235,33.6,1861,1070,555,991,3212,2046,697,1817,1068,5897,723,5835,1557,7854,0.04,81,1064811,4.14940899,8620,1931.118388,0.520653937,20452076,1,0,0,0,0,1,5,3673031,1,1,0,1,1,1,727013,883754,0,1342130,466822,253312,0,0,0,0,0,0,0,0,0,0,0,0,5,3624115,0,3,1,0,0,0,2640942,250430,0,0,1,1,0,0,407213,0,0
348545,6817,106345,39.9,1819,667,176,1007,3229,1913,615,1656,718,5521,1089,4279,3054,6786,8.01,116,1429736,5.65193008,8296,1206.136648,0.506967874,95048259,1,0,0,0,0,1,5,4645468,1,1,1,1,0,1,605192,822186,770927,2015410,0,431753,4,4040276,0,1,1,0,1,0,822186,2015410,0,431753,8,5343309,1,4,1,0,2,321452,3537720,355692,0,1128445,2,1,1,0,697556,548214,0
343936,5977,143183,37.7,1547,0,75,665,2450,2532,289,714,916,4783,2434,1568,1352,5977,-0.37,31,552344,1.86027045,5884,3212.973683,0.621047348,95048259,1,0,0,0,0,1,6,6360936,0,1,0,2,0,3,0,1102235,0,3902949,0,1355752,2,1531248,0,1,0,0,1,0,1102235,0,0,429013,10,8276623,1,6,0,1,1,440788,5854776,0,1089807,628154,1,1,1,0,320118,323604,0
342255,6071,61667,60.3,1578,1213,1499,326,2660,1038,1079,809,460,5205,481,5521,406,6032,0.11,110,285120,4.84211641,6031,1253.790592,0.532037556,5123076,1,0,0,0,0,1,6,4515730,1,1,1,1,1,1,565021,911032,267525,2210752,359070,202330,6,4515730,1,1,1,1,1,565021,911032,2210752,359070,202330,4,2482149,1,1,0,0,1,244671,944952,0,0,522458,1,0,1,0,0,376088,0
339994,7927,44271,34.6,1759,1190,689,706,2365,2505,849,745,207,5844,5564,1651,1551,7727,1.37,341,2445457,1.64851374,7415,4808.573813,0.587864261,95048259,1,0,0,0,0,1,6,3185106,0,1,2,0,1,2,0,1589143,564964,0,348749,682250,3,2271619,0,1,0,0,1,0,1589143,0,0,366296,8,6313143,1,5,0,0,1,383014,4879932,0,0,286012,1,1,1,0,432420,363170,0
339711,2250,85833,60.9,634,506,525,177,1227,503,281,550,395,2124,137,1959,124,2217,-0.21,57,214540,1.54326706,3198,1457.945976,0.507555556,29010141,1,0,0,0,0,1,4,3724651,1,1,0,1,0,1,743395,1059460,0,1663816,0,257980,2,1317440,0,1,0,0,1,0,1059460,0,0,257980,9,5124475,1,4,1,1,1,192245,3173713,327219,684502,257582,2,1,1,0,462091,393505,0
